Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","1","Conker","2","Ryan, Rossa","0","Wallis, Charlie","7","0","131","50.00","none",,,"Swiss Spirit","Starlight Walk","Gelding",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","2","Exciting Days (USA)","2","Morris, Luke","0","Cowell, R M H","4","0","131","3.50","none",,,"Blame (USA)","Whenthetimeisright (USA)","Colt",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","3","Hard Nut (IRE)","2","Levey, S M","0","Hannon (Jnr), Richard","8","0","131","3.50","5","10",,"Gutaifan (IRE)","With A Twist","Colt",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","4","Ossco","2","Cronin, S C","5","Moubarak, Mohamed","1","0","131","7.00","83","12",,"Sepoy (AUS)","Forbidden Love","Gelding",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","5","Thomas Lanfiere (FR)","2","Hogan, D E","5","Simcock, D M","3","0","131","2.50","none",,,"No Nay Never (USA)","Lexi The Princess (IRE)","Colt",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","6","Under Your Spell (IRE)","2","Costello, Dougie","0","Osborne, J A","9","0","131","20.00","6","7",,"Dark Angel (IRE)","Masaya","Colt",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","7","Zain Storm (FR)","2","Doyle, Hollie","0","Butler, John","5","0","131","8.00","73","24",,"Lethal Force (IRE)","Nickels And Dimes (IRE)","Colt",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","8","Chateau Peapod","2","Doyle, Brett","0","Pearce, Mrs Lydia","6","0","126","66.00","5","16",,"Coach House (IRE)","Dash Of Lime","Filly",,
"2019-06-20","13:50:00","Chelmsford City","Love That Hat EBF Maiden Auction Stakes","6f ","6","Class 5","Standard","5822","9","Left Handed","9","My Motivate Girl (IRE)","2","Greatrex, Mr T","5","Watson, Archie","2","0","126","5.50","324","10","Vsor","Requinto (IRE)","Albaraaha (IRE)","Filly",,
"2019-06-20","14:10:00","Ripon","thesecretspa.net EBF Novice Stakes","6f ","6","Class 5","Good To Soft","3881","8","Straight","1","Al Aakif (IRE)","2",,"0","Haggas, W J","1","0","135","0.00","1","18",,"Acclamation","Vastitas (IRE)","Colt",,
